,title,season_urls,imdb_link,title_url,stream_4k,rent_4k,buy_4k,stream_hd,rent_hd,buy_hd,stream_sd,rent_sd,buy_sd,stream_free,rent_free,buy_free,stream_best,rent_best,buy_best,Rating,Genres,Runtime,Age rating,Director,stream_4k,rent_4k,buy_4k,stream_hd,rent_hd,buy_hd,stream_sd,rent_sd,buy_sd,stream_free,rent_free,buy_free,stream_best,rent_best,buy_best,Rating,Genres,Runtime,Age rating,Director
0, Resident Evil ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/resident-evil/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/resident-evil'}]",https://www.imdb.com/title/tt9660182/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/resident-evil,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 61%  4.0 (38k) ,"Science-Fiction , Action & Adventure , Horror , Mystery & Thriller ",51min,TV-MA,nan,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 61%  4.0 (38k) ,"Science-Fiction , Action & Adventure , Horror , Mystery & Thriller ",51min,TV-MA,nan
1, Halo ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/halo/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/halo'}]",https://www.imdb.com/title/tt2934286/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/halo,[{'Paramount Plus': '1 Season 4K '}],[],[],"[{'Paramount Plus': '1 Season HD '}, {'Paramount+ Amazon Channel': '1 Season HD '}]",[],[],"[{'Paramount Plus': '1 Season '}, {'Paramount+ Amazon Channel': '1 Season '}]",[],[],[],[],[],"[{'Paramount Plus': '1 Season 4K '}, {'Paramount+ Amazon Channel': '1 Season HD '}]",[],[], 88%  7.1 (56k) ,"Science-Fiction , Action & Adventure , Mystery & Thriller , War & Military ",51min,TV-14,nan,[{'Paramount Plus': '1 Season 4K '}],[],[],"[{'Paramount Plus': '1 Season HD '}, {'Paramount+ Amazon Channel': '1 Season HD '}]",[],[],"[{'Paramount Plus': '1 Season '}, {'Paramount+ Amazon Channel': '1 Season '}]",[],[],[],[],[],"[{'Paramount Plus': '1 Season 4K '}, {'Paramount+ Amazon Channel': '1 Season HD '}]",[],[], 88%  7.1 (56k) ,"Science-Fiction , Action & Adventure , Mystery & Thriller , War & Military ",51min,TV-14,nan
2, High Heat ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/high-heat/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/high-heat'}]",https://www.imdb.com/title/tt17641200/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/high-heat,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 75%  5.8 ,"Drama , Action & Adventure ",36min,TV-MA,nan,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 75%  5.8 ,"Drama , Action & Adventure ",36min,TV-MA,nan
3, Vikings: Valhalla ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/vikings-valhalla/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/vikings-valhalla'}]",https://www.imdb.com/title/tt11311302/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/vikings-valhalla,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 86%  7.2 (36k) ,"War & Military , Action & Adventure , Drama , History , Romance ",51min,TV-MA,nan,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 86%  7.2 (36k) ,"War & Military , Action & Adventure , Drama , History , Romance ",51min,TV-MA,nan
4, Tekken: Bloodline ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/tekken-bloodline/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/tekken-bloodline'}]",https://www.imdb.com/title/tt19875850/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/tekken-bloodline,[],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season HD '}],[],[], 81%  6.7 (2k) ,"Action & Adventure , Science-Fiction , Mystery & Thriller , Animation , Fantasy ",26min,TV-14,nan,[],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season HD '}],[],[], 81%  6.7 (2k) ,"Action & Adventure , Science-Fiction , Mystery & Thriller , Animation , Fantasy ",26min,TV-14,nan
5, All of Us Are Dead ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/all-of-us-are-dead/season-2', 'tv_link': 'https://www.justwatch.com/us/tv-show/all-of-us-are-dead'}, {'season_link': 'https://www.justwatch.com/us/tv-show/all-of-us-are-dead/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/all-of-us-are-dead'}]",https://www.imdb.com/title/tt14169960/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/all-of-us-are-dead,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 90%  7.5 (47k) ,"Action & Adventure , Drama , Science-Fiction , Fantasy , Horror , Mystery & Thriller ",1h 1min,TV-MA," JQ Lee ,  Kim Nam-soo ",[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 90%  7.5 (47k) ,"Action & Adventure , Drama , Science-Fiction , Fantasy , Horror , Mystery & Thriller ",1h 1min,TV-MA," JQ Lee ,  Kim Nam-soo "
6, Shoresy ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/shoresy/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/shoresy'}]",https://www.imdb.com/title/tt18249282/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/shoresy,[],[],[],[{'Hulu': '1 Season HD '}],[],[],[{'Hulu': '1 Season '}],[],[],[],[],[],[{'Hulu': '1 Season HD '}],[],[], 82%  8.5 (3k) ,"Sport , Action & Adventure , Comedy , Drama ",24min,TV-MA,nan,[],[],[],[{'Hulu': '1 Season HD '}],[],[],[{'Hulu': '1 Season '}],[],[],[],[],[],[{'Hulu': '1 Season HD '}],[],[], 82%  8.5 (3k) ,"Sport , Action & Adventure , Comedy , Drama ",24min,TV-MA,nan
7, Alchemy of Souls ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/alchemy-of-souls/season-2', 'tv_link': 'https://www.justwatch.com/us/tv-show/alchemy-of-souls'}, {'season_link': 'https://www.justwatch.com/us/tv-show/alchemy-of-souls/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/alchemy-of-souls'}]",https://www.imdb.com/title/tt20859920/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/alchemy-of-souls,[],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season HD '}],[],[], 97%  8.7 (3k) ,"Science-Fiction , Action & Adventure , Drama , Fantasy , Romance , Comedy ",1h 18min,TV-14, Park Joon-hwa ,[],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season HD '}],[],[], 97%  8.7 (3k) ,"Science-Fiction , Action & Adventure , Drama , Fantasy , Romance , Comedy ",1h 18min,TV-14, Park Joon-hwa 
8, Willow ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/willow/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/willow'}]",None,https://www.justwatch.com/us/tv-show/willow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, 4% ,"Action & Adventure , Drama , Fantasy , Romance , Science-Fiction ",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, 4% ,"Action & Adventure , Drama , Fantasy , Romance , Science-Fiction ",nan,nan,nan
9, The Legend of Vox Machina ,"[{'season_link': 'https://www.justwatch.com/us/tv-show/critical-role-the-legend-of-vox-machina/season-2', 'tv_link': 'https://www.justwatch.com/us/tv-show/critical-role-the-legend-of-vox-machina'}, {'season_link': 'https://www.justwatch.com/us/tv-show/critical-role-the-legend-of-vox-machina/season-1', 'tv_link': 'https://www.justwatch.com/us/tv-show/critical-role-the-legend-of-vox-machina'}]",https://www.imdb.com/title/tt11247158/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/critical-role-the-legend-of-vox-machina,[],[],[],[{'Amazon Prime Video': '1 Season HD '}],[],[],[{'Amazon Prime Video': '1 Season '}],[],[],[],[],[],[{'Amazon Prime Video': '1 Season HD '}],[],[], 90%  8.4 (21k) ,"Fantasy , Animation , Action & Adventure , Comedy , Science-Fiction ",24min,TV-MA,nan,[],[],[],[{'Amazon Prime Video': '1 Season HD '}],[],[],[{'Amazon Prime Video': '1 Season '}],[],[],[],[],[],[{'Amazon Prime Video': '1 Season HD '}],[],[], 90%  8.4 (21k) ,"Fantasy , Animation , Action & Adventure , Comedy , Science-Fiction ",24min,TV-MA,nan
