,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Modelo alfanumérico,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Con USB,Con HDMI,Con Wi-Fi,Con Bluetooth,Con ethernet,Línea,Frecuencia,Cantidad de núcleos del procesador,Sistema operativo,Con apagado automático,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Cantidad de puertos HDMI,Cantidad de puertos USB,Con entrada S/PDIF,Con entrada por video componentes,Con entrada de antena RF,Países con control mágico incluido,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Capacidad de almacenamiento,Relación de contraste,Tiempo de respuesta,Con entrada por video compuesto,Con sistema de montaje VESA incorporado,Color
0,Televisor Samsung 50 Pulgadas Uhd 4k 50bu8200 Smart Tv,COL,4.7,Televisores,$,1923634,1699900,11,100,1,None,58,https://www.mercadolibre.com.co/televisor-samsung-50-pulgadas-uhd-4k-50bu8200-smart-tv/p/MCO20538779?pdp_filters=category:MCO14903#searchVariation=MCO20538779&position=2&search_layout=stack&type=produ,21/03/2023 20:20:41,Samsung,UN50BU8200KXZL,UN50BU8200KXZL,100V/240V,Sí,No,No,No,LED,"50 """,4K,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Televisor Samsung 55 Crystal Uhd 4k Bu8200 Smart Tv,COL,4.8,Televisores,$,2599900,1999990,23,100,1,None,39,https://www.mercadolibre.com.co/televisor-samsung-55-crystal-uhd-4k-bu8200-smart-tv/p/MCO20521136?pdp_filters=category:MCO14903#searchVariation=MCO20521136&position=4&search_layout=stack&type=product&,21/03/2023 20:20:50,Samsung,UN55BU8200KXZL,UN55BU8200KXZL,100V/240V,Sí,,No,,,"55 """,,Sí,Sí,Sí,Sí,,,Series 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Smart TV LG AI ThinQ 50UQ7500PSF LCD 4K 50"" 100V/240V",COL,4.8,Televisores,$,2499900,1599900,36,100,1,None,31,https://www.mercadolibre.com.co/smart-tv-lg-ai-thinq-50uq7500psf-lcd-4k-50-100v240v/p/MCO19802666?pdp_filters=category:MCO14903#searchVariation=MCO19802666&position=5&search_layout=stack&type=product&,21/03/2023 20:20:54,LG,50UQ7500,50UQ7500PSF,100V/240V,Sí,,No,,LCD,"50 """,4K,Sí,Sí,Sí,Sí,Sí,Sí,AI ThinQ,50 Hz x 60 Hz,4,webOS 22,Sí,1130 mm x 86.3 mm x 663 mm,11.3 kg,1130 mm,235 mm,719 mm,11.4 kg,2,20 W,"Ultra Surround, Clear Voice Pro, AI Sound, AI Acoustic Tuning, LG Sound Sync, Dolby Digital, Sound Share, AI Sound Pro",3840 px - 2160 px,16:9,60 Hz,3,1,Sí,No,Sí,México,"Control remoto, Baterías, Cable de alimentación, Base",Sí,Sí,ThinQ AI,"LG Channels, Web browser, LG Store, Netflix, YouTube, Prime Video, Disney+, Apple TV, HBO Max, Claro Video, Directv GO",,,,,,
3,"Smart TV Hyundai HYLED4321AiM Full HD 43"" 100V/200V",COL,None,Televisores,$,2714000,1119900,58,500,1,None,,https://www.mercadolibre.com.co/smart-tv-hyundai-hyled4321aim-full-hd-43-100v200v/p/MCO16265714?pdp_filters=category:MCO14903#searchVariation=MCO16265714&position=6&search_layout=stack&type=product&tr,21/03/2023 20:20:58,Hyundai,HYLED4321AiM,,100V/200V,Sí,,,,LED,"43 """,Full HD,,Sí,Sí,Sí,,,,,4,Android TV,,96.3 cm x 8.1 cm x 56.1 cm,,,,,,,,,1920 px - 1080 px,16:9,,3,2,,,,,"Control remoto, Cable de alimentación",Sí,Sí,Google Assistant,"Web browser, Netflix, YouTube, Google Play Store, Prime Video, Google Play Movies & TV, Google Play Games",8 GB,,,,,
4,"Smart TV Challenger Serie SMART LED 43LO68 BT ANDROID T2 Full HD 43"" 120V/240V",COL,4.7,Televisores,$,,1109900,,100,1,None,58,https://www.mercadolibre.com.co/smart-tv-challenger-serie-smart-led-43lo68-bt-android-t2-full-hd-43-120v240v/p/MCO19491271?pdp_filters=category:MCO14903#searchVariation=MCO19491271&position=7&search_l,21/03/2023 20:21:01,Challenger,LED 43LO68 BT ANDROID T2,,120V/240V,Sí,,No,,LED,"43 """,Full HD,Sí,Sí,Sí,Sí,Sí,Sí,Serie SMART,50 Hz x 60 Hz,4,Android 11,Sí,95.8 cm x 7.6 cm x 55.8 cm,6.5 kg,95.8 cm,17.2 cm,58 cm,6.7 kg,2,12 W,Dolby Audio,1920 px - 1080 px,16:9,,2,2,Sí,,Sí,,Control remoto,Sí,Sí,Google Assistant,"Google Play Store, Netflix, Prime Video, YouTube",8 GB,1000:1,8 ms,Sí,,
5,"Smart TV Samsung QN65Q65BAKXZL QLED 4K 65"" 100V/240V",COL,None,Televisores,$,3699900,2899900,21,100,1,None,,https://www.mercadolibre.com.co/smart-tv-samsung-qn65q65bakxzl-qled-4k-65-100v240v/p/MCO21090161?pdp_filters=category:MCO14903#searchVariation=MCO21090161&position=10&search_layout=stack&type=product&,21/03/2023 20:21:12,Samsung,QN65Q65BAK,QN65Q65BAKXZL,100V/240V,Sí,,No,,QLED,"65 """,4K,Sí,Sí,Sí,Sí,Sí,Sí,,50 Hz x 60 Hz,,Tizen,Sí,1450.9 mm x 25.7 mm x 831.4 mm,20.9 kg,1450.9 mm,290.2 mm,897.1 mm,21.8 kg,2,20 W,"OTS-Lite, Q-Symphony, Dolby Digital Plus, Adaptive Sound",3840 px - 2160 px,16:9,60 Hz,3,2,Sí,,Sí,,"Smart control TM2280E, Manual, Manual electrónico, Cable de alimentación",Sí,Sí,Bixby,"Samsung TV Plus, Netflix, Prime Video, Disney+, Apple TV, YouTube, Samsung Promotion, Web browser, Home Yoga, Music Player, SmartThings, Google Duo",,,,Sí,Sí,
6,"Smart TV Hyundai 32EVLSM LED HD 32"" 110V",COL,None,Televisores,$,,649900,,1000,1,None,,https://www.mercadolibre.com.co/smart-tv-hyundai-32evlsm-led-hd-32-110v/p/MCO21210716?pdp_filters=category:MCO14903#searchVariation=MCO21210716&position=1&search_layout=stack&type=product&tracking_id=,21/03/2023 20:21:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Televisor Gaming Samsung 50 4k Neo Qled Qn50qn90aa 120hz Hdmi 2.1,COL,4.9,Televisores,$,5799900,2759900,52,100,1,None,23,https://www.mercadolibre.com.co/televisor-gaming-samsung-50-4k-neo-qled-qn50qn90aa-120hz-hdmi-21/p/MCO19768391?pdp_filters=category:MCO14903#searchVariation=MCO19768391&position=3&search_layout=stack&,21/03/2023 20:22:06,Samsung,QN50QN90AA,QN50QN90AA,110V,Sí,No,No,No,QLED,"50 """,4K,Sí,Sí,Sí,Sí,Sí,,Serie 9,,,,,112 cm x 23 cm x 71 cm,14 kg,,,,,,,,3840 x 2160 px,,,4,2,,,,,,,,,,,,,,,Negro
8,None,COL,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=odTUxJZZhw79eGueKq%2FnZ9uRyFeVtF%2FyhIHViwXqop0cjH4VDcEtZtoedhb0rWYiepke9edxL9KLgbmMaU9ykQJNRtYsk5CC96aGBUfJpA55t9tpVcDwHylki5jQRK,21/03/2023 20:22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,None,COL,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=v6P%2B1Cqhtj1T5oUA4vHVACkKfKxLw9j9I5wxcT5puNbtCfNEYaTmInBrnDMI7ezOV1XdTK2Kbe0lMR7UVAfy8J0haChsyKa4qHH1RhhEes4Bi3gnIb5WUPykZe3hDfmf,21/03/2023 20:22:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
